Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Left Arete","Kombucha Crag > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/123083046/left-arete,2.5,-1,Sport,5.7,1,,37.87718,-122.61805
"Shaky Bro","Kombucha Crag > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/122998599/shaky-bro,2.1,-1,Sport,5.7,1,50,37.87718,-122.61805
"420 Shaka Bra Experience","Kombucha Crag > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121440265/420-shaka-bra-experience,2.6,-1,Sport,5.7,1,40,37.87718,-122.61805
"Partially Newt","Kombucha Crag > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121440355/partially-newt,2.4,-1,Sport,5.8+,1,50,37.87718,-122.61805
"China Pockets","Kombucha Crag > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121796659/china-pockets,2.2,-1,Sport,5.10b,1,50,37.87718,-122.61805
"Chimney Diver","Kombucha Crag > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121440421/chimney-diver,2.5,-1,Sport,5.11c,1,35,37.87718,-122.61805
Skrink,"Vent #5 > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121605321/skrink,1.9,-1,Sport,5.7,1,30,37.87717,-122.61789
Skritz,"Vent #5 > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121605281/skritz,2.0,-1,Sport,5.8,1,30,37.87717,-122.61789
"Quilligan (aka Friendly)","Vent #5 > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121605391/quilligan-aka-friendly,3.0,-1,Sport,5.10a,1,40,37.87717,-122.61789
"Solla Sollew","Vent #5 > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121604035/solla-sollew,2.5,-1,Sport,5.10b,1,45,37.87717,-122.61789
"Bolly Boo Ball","Vent #5 > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121603956/bolly-boo-ball,2.9,-1,Sport,5.10b,1,45,37.87717,-122.61789
"Woowall (Low Tide)","Vent #5 > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/122307107/woowall-low-tide,2.9,-1,Sport,5.11b,1,80,37.87717,-122.61789
"Key-Slapping Slipperd","Vent #5 > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121452998/key-slapping-slipperd,3.1,-1,Sport,5.11b,1,40,37.87717,-122.61789
"The Bronze Hog","Vent #5 > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/122307036/the-bronze-hog,3.6,-1,Sport,5.11c,1,65,37.87717,-122.61789
"Sea Lion","Vent #5 > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/122908397/sea-lion,3.0,-1,Sport,5.12a,1,80,37.87717,-122.61789
"Anzac Biscuit","Motown > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121999651/anzac-biscuit,2.3,-1,Trad,5.9+,1,20,37.87891,-122.61922
"Whale If Yer Scared","Motown > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121854071/whale-if-yer-scared,1.9,-1,"Sport, TR",5.10c,1,65,37.87891,-122.61922
"The Gift","Motown > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121771770/the-gift,2.5,-1,"Sport, TR",5.11a,1,35,37.87891,-122.61922
Mogoright,"Motown > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121457249/mogoright,2.9,-1,Sport,5.11b,1,70,37.87891,-122.61922
Mogolef,"Motown > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121456890/mogolef,3.2,-1,Sport,5.11c,1,65,37.87891,-122.61922
"Scotty's Melons","Motown > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121771758/scottys-melons,2.6,-1,"Sport, TR",5.11d,1,35,37.87891,-122.61922
"The Choss Whisperer","Motown > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121457220/the-choss-whisperer,3.5,-1,Sport,5.12b,1,70,37.87891,-122.61922
Michaelangemo,"Motown > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121456780/michaelangemo,1.8,-1,Sport,5.12b,1,60,37.87891,-122.61922
Mojo,"Kim's gym (aka Kym's Gym) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/122094264/mojo,2.8,-1,Sport,5.8,1,45,37.88,-122.62242
"Wet T-Shirt Contest","Kim's gym (aka Kym's Gym) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/122094237/wet-t-shirt-contest,2.4,-1,Sport,5.8,1,45,37.88,-122.62242
"Wet Pocket","Kim's gym (aka Kym's Gym) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/122937553/wet-pocket,1.5,-1,Sport,5.8,1,40,37.88,-122.62242
"Climb Naked","Kim's gym (aka Kym's Gym) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121674238/climb-naked,2.6,-1,Sport,5.9+,1,30,37.88,-122.62242
Lillo,"Kim's gym (aka Kym's Gym) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/122094255/lillo,2.5,-1,Sport,5.10a,1,45,37.88,-122.62242
"Micro Aggression","Kim's gym (aka Kym's Gym) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/122555065/micro-aggression,3.6,-1,Sport,5.10a,1,90,37.88,-122.62242
Kalyfornia,"Kim's gym (aka Kym's Gym) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/122554655/kalyfornia,2.3,-1,Sport,5.10c,1,45,37.88,-122.62242
Oh!,"Kim's gym (aka Kym's Gym) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/122555112/oh,2.3,-1,Sport,5.10c,1,40,37.88,-122.62242
"Crack Direct","Beaver Street Wall > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734864/crack-direct,2.5,-1,TR,"5.9 R",1,60,37.7655,-122.4368
"The Crack","Beaver Street Wall > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734825/the-crack,2.6,-1,TR,"5.10a PG13",1,60,37.7655,-122.4368
"Right of Direct Start","Beaver Street Wall > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734834/right-of-direct-start,2.1,-1,TR,"5.10d R",1,50,37.7655,-122.4368
"Dawn Juan","Beaver Street Wall > San Francisco Bay Area > California",https://www.mountainproject.com/route/119013407/dawn-juan,2.4,-1,TR,5.11a,1,60,37.7655,-122.4368
"Bolt Route","Beaver Street Wall > San Francisco Bay Area > California",https://www.mountainproject.com/route/106340941/bolt-route,1.3,-1,TR,"5.11a/b R",1,60,37.7655,-122.4368
"Dawn Juan Direct","Beaver Street Wall > San Francisco Bay Area > California",https://www.mountainproject.com/route/119101359/dawn-juan-direct,2.0,-1,TR,5.12-,1,60,37.7655,-122.4368
"Enter Sandman","Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/111172547/enter-sandman,1.8,-1,Sport,5.7,1,40,37.2408,-122.0978
"Wide Crack","Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734717/wide-crack,2.0,-1,"Trad, Sport, TR",5.7,1,40,37.2408,-122.0978
"University of Santa Clara Practice Climb  1","Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734594/university-of-santa-clara-practice-climb-1,2.4,-1,Sport,5.8,1,70,37.2408,-122.0978
"Double Cracks","Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736112/double-cracks,1.8,-1,"Trad, TR",5.9,1,50,37.2408,-122.0978
"Ribbed For Comfort","Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/113151587/ribbed-for-comfort,2.3,-1,TR,5.9,1,50,37.2408,-122.0978
"The Roof Crack","Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/113982387/the-roof-crack,2.3,-1,"Trad, TR",5.9,1,60,37.2408,-122.0978
"Tree Surgeon","Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736205/tree-surgeon,2.1,-1,Trad,5.9+,1,70,37.2408,-122.0978
"Donuts with Buddha","Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/113762114/donuts-with-buddha,1.3,-1,Sport,5.10a,1,35,37.2408,-122.0978
"Worm Belly","Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734822/worm-belly,1.4,-1,Sport,"5.10b R",1,40,37.2408,-122.0978
Urolagniac,"Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734585/urolagniac,1.0,-1,"Trad, TR",5.10c,1,50,37.2408,-122.0978
"Glob of Shit","Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734729/glob-of-shit,1.8,-1,Sport,5.10c,1,50,37.2408,-122.0978
"Bolt Filcher","Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735734/bolt-filcher,2.6,-1,"Sport, TR",5.10d,1,50,37.2408,-122.0978
"The Molar","Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734657/the-molar,1.0,-1,Sport,5.11a,1,40,37.2408,-122.0978
"Shaolin Slab","Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/123049229/shaolin-slab,3.0,-1,Sport,5.11a/b,1,25,37.2408,-122.0978
Fecolagniac,"Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734582/fecolagniac,2.0,-1,Sport,"5.11b R",1,50,37.2408,-122.0978
Rectalphobiac,"Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734591/rectalphobiac,3.3,-1,Sport,"5.11b R",1,80,37.2408,-122.0978
Chancroid,"Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736115/chancroid,1.0,-1,"Trad, Sport, TR","5.11c R",1,60,37.2408,-122.0978
"Skillsaw Gourmet","Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736118/skillsaw-gourmet,2.7,-1,"Trad, Sport, TR",5.11d,1,60,37.2408,-122.0978
Rigormorris,"Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736202/rigormorris,2.0,-1,Sport,5.12a,1,60,37.2408,-122.0978
Spung-Lick-A-Litus,"Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734588/spung-lick-a-litus,1.5,-1,Sport,5.12b,1,50,37.2408,-122.0978
"Corner Route","Goat Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736399/corner-route,2.0,-1,Trad,"5.8- X",1,70,37.2282,-122.1079
"Center Route","Goat Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734639/center-route,2.0,-1,TR,5.8,1,70,37.2282,-122.1079
"Triple Overhang","Goat Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734690/triple-overhang,2.4,-1,TR,5.9,1,50,37.2282,-122.1079
"The Great Roof","Goat Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734687/the-great-roof,3.2,-1,TR,5.10b,1,80,37.2282,-122.1079
"The Yodel King","Goat Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/117907056/the-yodel-king,3.7,-1,TR,5.11a,1,80,37.2282,-122.1079
